episode,calc_reward_mean,calc_reward_sum,steps,orig_reward_mean,orig_reward_sum,max_progress,on_track_ratio,final_status
0,0.153,7.039,46,0.848,39.006,28.106,0.8913,off_track
1,0.1547,6.033,39,0.8463,33.005,21.5011,0.8974,off_track
2,0.109,4.033,37,0.811,30.006,17.8602,0.8649,off_track
3,0.4434,62.078,140,0.9429,132.007,85.4515,0.95,off_track
4,0.3673,11.019,30,0.7669,23.006,11.3042,0.8333,off_track
5,0.3891,61.096,157,0.9618,151.005,100.0,0.9682,lap_complete
6,0.2674,20.055,75,0.9201,69.005,44.9545,0.9467,off_track
7,0.001,0.027,27,0.815,22.004,11.5369,0.8889,off_track
8,0.436,27.035,62,0.9355,58.003,36.4509,0.9516,off_track
9,0.1969,10.041,51,0.8825,45.005,28.1592,0.902,off_track
10,0.223,10.035,45,0.889,40.004,24.6025,0.9333,off_track
11,0.0615,2.031,33,0.8183,27.005,17.1044,0.8485,off_track
12,0.4434,31.039,70,0.9001,63.006,40.2397,0.9143,off_track
13,0.5618,32.025,57,0.9124,52.004,31.3266,0.9298,off_track
14,0.5232,23.021,44,0.8865,39.004,24.7981,0.9318,off_track
15,0.1918,17.072,89,0.899,80.008,57.2849,0.9101,off_track
16,0.2722,19.051,70,0.9001,63.006,46.7346,0.9143,off_track
17,0.4539,34.041,75,0.9334,70.004,46.4574,0.9467,off_track
18,0.1594,13.069,82,0.9269,76.005,41.3748,0.939,off_track
19,0.1854,12.053,65,0.8924,58.006,36.3004,0.9077,off_track
20,0.0918,5.05,55,0.891,49.005,27.6476,0.9273,off_track
21,0.3165,24.052,76,0.9343,71.004,44.674,0.9474,off_track
22,0.3102,13.029,42,0.881,37.004,21.3487,0.9048,off_track
23,0.3874,41.065,106,0.9434,100.005,60.8486,0.9623,off_track
24,0.4844,15.016,31,0.8388,26.004,12.1968,0.871,off_track
25,0.406,45.066,111,0.946,105.005,70.507,0.964,off_track
26,0.27,21.057,78,0.9359,73.004,45.5282,0.9615,off_track
27,0.2071,13.05,63,0.9207,58.004,37.2628,0.9524,off_track
28,0.3935,11.017,28,0.7502,21.006,13.05,0.7857,off_track
29,0.3985,37.056,93,0.9355,87.005,49.3162,0.957,off_track
30,0.3827,47.076,123,0.9513,117.005,78.4467,0.9675,off_track
31,0.2269,26.089,115,0.9479,109.005,72.1035,0.9565,off_track
32,0.3257,52.108,160,0.9938,159.0,100.0,1.0,lap_complete
33,0.4763,49.054,103,0.9418,97.005,64.6573,0.9612,off_track
34,0.4362,44.057,101,0.9308,94.006,64.7402,0.9406,off_track
35,0.1737,14.067,81,0.926,75.005,52.0704,0.9383,off_track
36,0.1732,5.024,29,0.8277,24.004,14.0771,0.8966,off_track
37,0.3225,28.059,87,0.9311,81.005,49.8169,0.9425,off_track
38,0.3821,37.06,97,0.9279,90.006,65.4682,0.9381,off_track
39,0.0826,4.045,49,0.8777,43.005,31.2521,0.898,off_track
40,0.3526,44.081,125,0.952,119.005,78.434,0.968,off_track
41,0.3673,22.038,60,0.9001,54.005,30.7492,0.9333,off_track
42,0.2837,30.076,106,0.934,99.006,62.0645,0.9528,off_track
43,0.3007,9.021,30,0.8002,24.005,13.7146,0.8333,off_track
44,0.595,22.015,37,0.892,33.003,17.2859,0.9189,off_track
45,0.4319,22.029,51,0.8825,45.005,27.8137,0.902,off_track
46,0.271,20.054,74,0.6895,51.022,43.2595,0.7162,off_track
47,0.2735,9.024,33,0.8183,27.005,12.619,0.8788,off_track
48,0.2396,32.102,134,0.8882,119.014,76.9013,0.8955,off_track
49,0.1616,9.047,56,0.8929,50.005,31.291,0.9107,off_track
50,0.1994,29.117,146,0.9589,140.005,86.3617,0.9658,off_track
51,0.3399,38.074,112,0.9554,107.004,71.2574,0.9643,off_track
52,0.3833,62.1,162,0.9938,161.0,100.0,1.0,lap_complete
53,0.5005,30.03,60,0.8668,52.007,32.7509,0.8833,off_track
54,0.4192,18.025,43,0.8838,38.004,24.0771,0.907,off_track
55,0.2735,27.072,99,0.9495,94.004,57.5273,0.9596,off_track
56,0.2579,9.026,35,0.8287,29.005,18.0257,0.8571,off_track
57,0.4594,39.046,85,0.9295,79.005,48.9733,0.9529,off_track
58,0.2994,23.054,77,0.9221,71.005,43.8939,0.9351,off_track
59,0.0993,6.055,61,0.8853,54.006,34.9563,0.9016,off_track
60,0.3391,22.043,65,0.9078,59.005,36.4204,0.9231,off_track
61,0.282,18.046,64,0.8907,57.006,32.1142,0.9062,off_track
62,0.3838,41.066,107,0.944,101.005,63.4102,0.9626,off_track
63,0.3691,56.096,152,0.9934,151.0,100.0,1.0,lap_complete
64,0.3895,35.055,90,0.9223,83.006,53.6307,0.9333,off_track
65,0.3623,17.03,47,0.8299,39.007,26.1745,0.8511,off_track
66,0.3319,53.107,160,0.9625,154.005,95.8024,0.9688,off_track
67,0.2383,38.122,160,0.9688,155.004,91.332,0.975,off_track
68,0.3439,23.044,67,0.9105,61.005,36.9106,0.9254,off_track
69,0.0707,3.04,43,0.7909,34.008,18.2735,0.814,off_track
70,0.3302,57.116,173,0.9538,165.007,99.2772,0.9653,off_track
71,0.1723,6.029,35,0.8287,29.005,18.3843,0.8857,off_track
72,0.2785,10.026,36,0.8057,29.006,16.7095,0.8611,off_track
73,0.4225,27.037,64,0.8127,52.011,42.1453,0.8281,off_track
74,0.371,20.034,54,0.7965,43.01,30.0109,0.8148,off_track
75,0.3506,14.026,40,0.8252,33.006,22.242,0.85,off_track
76,0.398,62.094,156,0.9936,155.0,100.0,1.0,lap_complete
77,0.1926,14.059,73,0.8905,65.007,46.7628,0.9041,off_track
78,0.2888,17.042,59,0.9153,54.004,37.1035,0.9322,off_track
79,0.2039,13.051,64,0.9063,58.005,35.5237,0.9375,off_track
80,0.3697,31.053,84,0.9048,76.007,51.7524,0.9167,off_track
81,0.1534,9.05,59,0.8984,53.005,29.4668,0.9153,off_track
82,0.3001,50.117,167,0.9222,154.012,100.0,0.9281,lap_complete
83,0.3382,53.104,157,0.9427,148.008,100.0,0.949,lap_complete
84,0.4032,62.092,154,0.9416,145.008,100.0,0.9481,lap_complete
85,0.4261,20.027,47,0.8724,41.005,25.8946,0.8936,off_track
86,0.1997,35.141,176,0.9262,163.012,99.7232,0.9375,off_track
87,0.1259,4.028,32,0.7814,25.006,13.7835,0.8125,off_track
88,0.3794,25.041,66,0.9092,60.005,35.2882,0.9394,off_track
89,0.3194,51.109,160,0.9313,149.01,87.3593,0.9438,off_track
90,0.3994,65.098,163,0.9939,162.0,100.0,1.0,lap_complete
91,0.2113,8.03,38,0.8159,31.006,18.6755,0.8684,off_track
92,0.2572,10.029,39,0.7951,31.007,21.2671,0.8205,off_track
93,0.5243,33.03,63,0.8414,53.009,37.6095,0.8571,off_track
94,0.3416,30.058,88,0.9432,83.004,57.9475,0.9545,off_track
95,0.1952,7.029,36,0.8335,30.005,19.4319,0.8889,off_track
96,0.2032,17.067,84,0.9405,79.004,54.7402,0.9643,off_track
97,0.4144,36.051,87,0.9311,81.005,49.1802,0.954,off_track
98,0.0995,7.064,71,0.9015,64.006,40.8892,0.9296,off_track
99,0.001,0.054,54,0.852,46.007,31.7743,0.8704,off_track
100,0.1313,6.04,46,0.8697,40.005,26.0295,0.8913,off_track
101,0.163,18.093,111,0.748,83.027,63.6163,0.7568,off_track
102,0.4057,64.094,158,0.9937,157.0,100.0,1.0,lap_complete
103,0.3806,19.031,50,0.8601,43.006,22.5075,0.88,off_track
104,0.4626,73.085,158,0.9937,157.0,100.0,1.0,lap_complete
105,0.2864,26.065,91,0.9341,85.005,51.8767,0.956,off_track
106,0.3578,55.099,154,0.9546,147.006,96.871,0.9675,off_track
107,0.1571,5.027,32,0.8127,26.005,13.7626,0.875,off_track
108,0.3842,28.045,73,0.9179,67.005,37.646,0.9315,off_track
109,0.108,6.05,56,0.8394,47.008,29.2961,0.875,off_track
110,0.269,22.06,82,0.9025,74.007,44.3072,0.9268,off_track
111,0.3485,16.03,46,0.8914,41.004,21.6422,0.913,off_track
112,0.3574,61.11,171,0.9533,163.007,100.0,0.9591,lap_complete
113,0.4006,10.015,25,0.7202,18.006,9.068,0.8,off_track
114,0.4429,23.029,52,0.8655,45.006,28.652,0.8846,off_track
115,0.2408,24.076,100,0.9101,91.008,54.6119,0.92,off_track
116,0.1524,5.028,33,0.8486,28.004,14.9067,0.8788,off_track
117,0.395,56.086,142,0.9578,136.005,90.5822,0.9718,off_track
118,0.2628,38.107,145,0.9587,139.005,87.4362,0.9655,off_track
119,0.3389,23.045,68,0.9265,63.004,40.5828,0.9412,off_track
120,0.298,22.052,74,0.9055,67.006,36.3638,0.9189,off_track
